,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,195,FF,2021-10-22,94.5,-0.24,5.91,"Pressly, Ryan",593428.0,519151.0,field_out,hit_into_play,,,,,5.0,Xander Bogaerts lines out to left fielder Michael Brantley.,L,R,R,HOU,BOS,X,7.0,line_drive,0.0,1.0,2021.0,-0.1,1.39,-0.13,2.82,,,,2.0,9.0,Top,70.65,88.0,,,455117.0,,,0.5073883709046493,-137.63575205027306,-5.480646725964001,-1.3730771538658275,30.952450479433985,-13.49132452299559,3.47,1.59,306.0,84.8,23.0,94.7,2539.0,6.4,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.09,0.27699999999999997,0.262,0.0,1.0,0.0,0.0,3.0,66.0,2.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Standard,Standard,194.0,0.0,-0.086
1,198,FF,2021-10-22,95.5,-0.27,5.88,"Pressly, Ryan",593428.0,519151.0,,called_strike,,,,,7.0,Xander Bogaerts lines out to left fielder Michael Brantley.,L,R,R,HOU,BOS,S,,,0.0,0.0,2021.0,-0.43,1.57,-0.54,1.83,,,,2.0,9.0,Top,,,,,455117.0,,,0.28182979931736996,-138.85726042002443,-8.562345101850719,-5.651420904118013,31.156669038377448,-10.109635960998599,3.59,1.59,,,,95.7,2592.0,6.4,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.06,,,,,,,,66.0,1.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Standard,Standard,204.0,0.0,-0.018000000000000002
2,206,CU,2021-10-22,81.5,-0.23,6.06,"Pressly, Ryan",646240.0,519151.0,strikeout,swinging_strike_blocked,,,,,13.0,Rafael Devers strikes out swinging.,L,L,R,HOU,BOS,S,2.0,,1.0,2.0,2021.0,0.95,-1.14,-0.29,0.83,,,,1.0,9.0,Top,,,,,455117.0,,,-1.9481923825109997,-118.51812298185496,-2.8266891312592297,9.31621013622885,26.75043900211061,-42.37247059579072,3.37,1.53,,,,80.3,3110.0,5.9,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.56,,,0.0,1.0,0.0,0.0,,65.0,4.0,Curveball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,27.0,0.002,-0.114
3,212,FF,2021-10-22,93.5,-0.19,6.11,"Pressly, Ryan",646240.0,519151.0,,foul,,,,,1.0,Rafael Devers strikes out swinging.,L,L,R,HOU,BOS,S,,,1.0,1.0,2021.0,-0.1,1.54,-0.67,3.36,,,,1.0,9.0,Top,,,,,455117.0,,,-1.0162236703938754,-136.2014196755057,-4.758545847623972,-0.9931401411475052,28.66804848317523,-12.198869163725645,3.37,1.53,168.0,78.2,69.0,93.6,2512.0,6.2,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.32,,,,,,,,65.0,3.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,190.0,0.0,-0.043
4,226,FF,2021-10-22,92.9,-0.12,5.96,"Pressly, Ryan",646240.0,519151.0,,foul,,,,,14.0,Rafael Devers strikes out swinging.,L,L,R,HOU,BOS,S,,,1.0,0.0,2021.0,0.05,1.11,0.99,1.78,,,,1.0,9.0,Top,,,,,455117.0,,,2.7514397131514947,-135.1921033515572,-7.3831656856283745,-0.0289755494970681,29.17916724796312,-17.173004885817612,3.37,1.53,4.0,97.6,-28.0,93.0,2441.0,6.3,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.18,,,,,,,,65.0,2.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,193.0,0.0,-0.032
5,231,FF,2021-10-22,93.5,-0.25,5.91,"Pressly, Ryan",646240.0,519151.0,,ball,,,,,11.0,Rafael Devers strikes out swinging.,L,L,R,HOU,BOS,B,,,0.0,0.0,2021.0,0.14,1.52,-0.66,3.57,,,,1.0,9.0,Top,,,,,455117.0,,,-1.3481129235603302,-136.1872595710283,-3.6691272241513633,2.053176748997442,29.204529283765662,-12.636699463452215,3.37,1.5,,,,93.6,2636.0,6.3,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.25,,,,,,,,65.0,1.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,191.0,0.0,0.026000000000000002
6,242,FF,2021-10-22,95.9,-0.34,5.97,"Pressly, Ryan",571771.0,519151.0,field_out,hit_into_play,,,,,4.0,Enrique Hernandez flies out to center fielder Chas McCormick.,L,R,R,HOU,BOS,X,8.0,fly_ball,0.0,2.0,2021.0,-0.54,1.56,-0.75,2.53,,,,0.0,9.0,Top,114.91,100.65,,,455117.0,,,0.11227081680163543,-139.59826576891706,-7.03581202820734,-7.064986931859553,31.331520496903906,-10.430494367685993,3.32,1.51,248.0,79.7,46.0,95.9,2501.0,6.2,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.25,0.043,0.042,0.0,1.0,0.0,0.0,3.0,64.0,3.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,204.0,0.003,-0.151
7,247,FF,2021-10-22,93.9,-0.17,6.09,"Pressly, Ryan",571771.0,519151.0,,foul,,,,,1.0,Enrique Hernandez flies out to center fielder Chas McCormick.,L,R,R,HOU,BOS,S,,,0.0,1.0,2021.0,-0.12,1.63,-0.67,3.13,,,,0.0,9.0,Top,,,,,455117.0,,,-1.014634216012488,-136.6131540390829,-5.509270322738267,-1.3029244430539932,33.39443157103557,-10.771828977627726,3.32,1.51,208.0,76.5,62.0,93.4,2677.0,6.2,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.27,,,,,,,,64.0,2.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,193.0,0.0,-0.052000000000000005
8,256,FF,2021-10-22,93.6,-0.08,6.07,"Pressly, Ryan",571771.0,519151.0,,foul,,,,,3.0,Enrique Hernandez flies out to center fielder Chas McCormick.,L,R,R,HOU,BOS,S,,,0.0,0.0,2021.0,-0.11,1.53,0.28,2.76,,,,0.0,9.0,Top,,,,,455117.0,,,1.182345598492747,-136.27912324476594,-6.1863439962222335,-1.6248912638355728,30.113081644435912,-11.944630592751125,3.32,1.51,,,,93.6,2439.0,6.3,660899.0,519151.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.25,,,,,,,,64.0,1.0,4-Seam Fastball,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,Infield shift,Standard,192.0,0.0,-0.038
40,139,FF,2021-10-22,97.8,-0.21,6.46,"Stanek, Ryne",656941.0,592773.0,field_out,hit_into_play,,,,,6.0,Kyle Schwarber pops out to shortstop Carlos Correa.,L,L,R,HOU,BOS,X,6.0,popup,3.0,2.0,2021.0,-0.73,1.35,0.82,2.63,,,,2.0,8.0,Top,133.49,153.06,,,455117.0,,,4.432932037967128,-142.2513893897202,-7.902543379053219,-10.960028451181223,33.39943526735715,-12.23445296384388,3.37,1.53,123.0,92.3,69.0,97.2,2311.0,6.0,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.49,0.003,0.003,0.0,1.0,0.0,0.0,3.0,56.0,7.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,207.0,0.013000000000000001,-0.134
