,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-08-13,97.2,-2.15,5.79,"Cole, Gerrit",493329,543037,field_out,hit_into_play,,,,,5,Yuli Gurriel flies out to right fielder Aaron Judge.,R,R,R,MIA,NYY,X,9.0,fly_ball,0,0,2023,-0.39,1.13,-0.06,2.72,650333.0,669394.0,,2,6,Bot,183.04,131.74,,,666163,,,6.488054683769443,-141.3313510748855,-5.200687377177132,-6.868524960094313,36.49884454899692,-16.041721558063607,3.38,1.61,220.0,87.0,53.0,96.7,2430,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.17,0.013999999999999999,0.017,0.0,1.0,0.0,0.0,3.0,54,1,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,210,-0.027000000000000003,-0.563
1,KC,2023-08-13,85.1,-2.46,5.72,"Cole, Gerrit",660821,543037,field_out,hit_into_play,,,,,14,Jesus Sanchez grounds out to first baseman Jake Bauers.   Luis Arraez to 3rd.    Jake Burger to 2nd.,R,L,R,MIA,NYY,X,3.0,ground_ball,0,0,2023,1.1,-1.07,0.46,1.52,,650333.0,669394.0,1,6,Bot,145.8,179.93,,,666163,,,4.662636135990468,-123.81147031532663,-1.3359687029653873,10.155005156109768,27.76684844217225,-42.969540948340814,3.46,1.66,1.0,78.2,-54.0,84.8,2829,6.4,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.13,0.249,0.22399999999999998,0.0,1.0,0.0,0.0,2.0,53,1,Knuckle Curve,2,7,2,7,7,2,2,7,Standard,Standard,44,-0.019,-0.626
2,FC,2023-08-13,94.2,-2.27,5.75,"Cole, Gerrit",669394,543037,single,hit_into_play,,,,,5,Jake Burger singles on a ground ball to right fielder Aaron Judge.   Josh Bell scores.    Luis Arraez to 2nd.,R,R,R,MIA,NYY,X,9.0,ground_ball,0,1,2023,-0.15,0.98,0.23,2.55,,605137.0,650333.0,1,6,Bot,171.2,92.89,,,666163,,,6.8228245820336975,-137.14770638913714,-4.862894721244284,-3.199673036475341,26.976882632956773,-18.880608475136324,3.23,1.53,56.0,109.8,0.0,94.7,2541,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.18,0.557,0.534,0.9,1.0,1.0,0.0,4.0,52,2,Cutter,1,7,1,7,7,2,2,7,Standard,Standard,201,0.032,1.0190000000000001
3,FF,2023-08-13,97.7,-2.1,5.75,"Cole, Gerrit",669394,543037,,called_strike,,,,,3,Jake Burger singles on a ground ball to right fielder Aaron Judge.   Josh Bell scores.    Luis Arraez to 2nd.,R,R,R,MIA,NYY,S,,,0,0,2023,-0.81,1.55,0.37,2.67,,605137.0,650333.0,1,6,Bot,,,,,666163,,,8.564199950296059,-141.97812631606928,-6.405888361218375,-12.847782718725224,31.99913386362132,-9.878512646076182,3.15,1.45,,,,98.3,2448,6.7,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,53.85,,,,,,,,52,1,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,207,0.0,-0.08
4,FC,2023-08-13,94.1,-2.25,5.77,"Cole, Gerrit",650559,543037,strikeout,swinging_strike,,,,,5,Bryan De La Cruz strikes out swinging.,R,R,R,MIA,NYY,S,2.0,,1,2,2023,0.15,0.85,0.1,2.69,,605137.0,650333.0,0,6,Bot,,,,,666163,,,5.774473148103357,-137.00959038108684,-4.219032136820873,0.7687276438556192,26.628240567024626,-20.73862665063428,3.36,1.65,,,,94.5,2523,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.25,,,0.0,1.0,0.0,0.0,,51,4,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,191,-0.023,-0.35700000000000004
5,FF,2023-08-13,98.8,-2.14,5.73,"Cole, Gerrit",650559,543037,,foul,,,,,3,Bryan De La Cruz strikes out swinging.,R,R,R,MIA,NYY,S,,,1,1,2023,-0.68,1.39,0.55,2.92,,605137.0,650333.0,0,6,Bot,,,,,666163,,,8.925687203350986,-143.47144224439967,-5.42631271866994,-11.483858964372955,34.06319765920873,-11.87913342879732,3.36,1.65,254.0,82.1,41.0,98.9,2469,6.5,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,53.98,,,,,,,,51,3,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,213,0.0,-0.153
6,SL,2023-08-13,92.4,-2.24,5.63,"Cole, Gerrit",650559,543037,,ball,,,,,14,Bryan De La Cruz strikes out swinging.,R,R,R,MIA,NYY,B,,,0,1,2023,0.55,0.36,1.79,0.92,,605137.0,650333.0,0,6,Bot,,,,,666163,,,9.051544841819288,-134.26864916929628,-6.979529251009582,4.849459000714013,27.67140922963971,-26.53036291690255,3.32,1.65,,,,92.5,2522,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.17,,,,,,,,51,2,Slider,1,7,1,7,7,1,1,7,Standard,Standard,167,0.0,0.073
7,FF,2023-08-13,98.1,-2.21,5.86,"Cole, Gerrit",650559,543037,,foul,,,,,1,Bryan De La Cruz strikes out swinging.,R,R,R,MIA,NYY,S,,,0,0,2023,-0.69,1.58,-0.35,3.09,,605137.0,650333.0,0,6,Bot,,,,,666163,,,6.6055969542960575,-142.53070462675225,-5.535521862076129,-11.06400352251592,38.79811599855421,-9.672432734726966,3.36,1.65,192.0,76.1,25.0,97.2,2405,6.3,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.19,,,,,,,,51,1,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,212,0.0,-0.087
8,FF,2023-08-13,97.7,-2.21,5.84,"Cole, Gerrit",650333,543037,single,hit_into_play,,,,,1,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,X,9.0,ground_ball,3,2,2023,-0.87,1.41,-0.31,2.97,,,605137.0,0,6,Bot,184.92,113.25,,,666163,,,7.090558003945137,-141.93302805510143,-5.3451232893259615,-13.547716071262741,38.376766996298855,-12.19691780813087,3.18,1.52,45.0,83.4,0.0,96.7,2243,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.29,0.209,0.18899999999999997,0.9,1.0,1.0,0.0,2.0,50,6,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,213,0.024,0.584
9,CH,2023-08-13,90.6,-2.27,5.72,"Cole, Gerrit",650333,543037,,ball,,,,,11,Luis Arraez singles on a ground ball to right fielder Aaron Judge.   Josh Bell to 2nd.,R,L,R,MIA,NYY,B,,,2,2,2023,-1.36,0.74,-1.78,3.11,,,605137.0,0,6,Bot,,,,,666163,,,4.106413108572327,-131.86190594867446,-2.1241209713068483,-16.663227487896293,31.22341850964911,-23.28935335237208,3.16,1.46,,,,90.0,1409,6.2,717011,543037,666163,641343,650402,643396,683011,641856,664056,592450,54.33,,,,,,,,50,5,Changeup,1,7,1,7,7,1,1,7,Standard,Standard,231,0.0,0.139
