,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-08-19,94.6,-2.19,5.79,"Cole, Gerrit",646240,543037,field_out,hit_into_play,,,,,7,Rafael Devers lines out sharply to center fielder Harrison Bader.,R,L,R,NYY,BOS,X,8.0,line_drive,0,0,2023,-1.06,1.25,-0.55,2.0,,,,2,4,Top,95.85,42.69,,,666163,,,6.626759475334572,-137.5166501560888,-7.022335523139477,-14.837696385805774,29.01694710588543,-14.917038934252929,3.44,1.59,392.0,104.2,22.0,94.9,2002,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.08,0.7659999999999999,1.234,0.0,1.0,0.0,0.0,6.0,30,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Strategic,Standard,225,0.002,-0.106
1,FF,2023-08-19,95.4,-1.95,5.98,"Cole, Gerrit",657077,543037,field_out,hit_into_play,,,,,11,"Alex Verdugo grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,L,R,NYY,BOS,X,6.0,ground_ball,2,0,2023,-1.16,1.01,-1.19,2.93,,,,1,4,Top,117.01,162.24,,,666163,,,4.641430489013906,-138.93350882413478,-4.727157167848088,-16.12752440553543,29.855619163379423,-18.219862590092106,3.52,1.57,48.0,83.6,0.0,95.9,2249,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.09,0.249,0.265,0.0,1.0,0.0,0.0,2.0,29,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Strategic,Standard,213,0.002,-0.237
2,CH,2023-08-19,91.1,-2.04,5.84,"Cole, Gerrit",657077,543037,,ball,,,,,14,"Alex Verdugo grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,L,R,NYY,BOS,B,,,1,0,2023,-1.04,1.09,0.0,1.04,,,,1,4,Top,,,,,666163,,,7.379385291975362,-132.2458028485608,-8.530026963060315,-13.706428209789147,27.037364219288715,-17.746882647704066,3.44,1.47,,,,91.5,1661,6.6,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.94,,,,,,,,29,2,Changeup,0,6,6,0,6,0,6,0,Strategic,Standard,229,0.0,0.040999999999999995
3,FC,2023-08-19,91.7,-2.42,5.89,"Cole, Gerrit",657077,543037,,ball,,,,,11,"Alex Verdugo grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,L,R,NYY,BOS,B,,,0,0,2023,0.29,0.83,-1.26,3.15,,,,1,4,Top,,,,,666163,,,2.3175342390680163,-133.6509428260046,-2.946355108684198,3.0568950943103266,25.059042534993385,-21.79191227653224,3.55,1.49,,,,92.3,2506,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.21,,,,,,,,29,1,Cutter,0,6,6,0,6,0,6,0,Strategic,Standard,177,0.0,0.026000000000000002
4,FC,2023-08-19,91.6,-2.12,5.84,"Cole, Gerrit",649966,543037,strikeout,swinging_strike,,,,,14,Luis Urias strikes out swinging.,R,R,R,NYY,BOS,S,2.0,,1,2,2023,0.53,0.64,1.55,1.71,,,,0,4,Top,,,,,666163,,,8.140706214162906,-133.15873176820463,-6.033248029528277,4.8572332612187035,25.334799882120944,-23.49132840288861,3.21,1.55,,,,92.2,2620,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.06,,,0.0,1.0,0.0,0.0,,28,4,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,175,0.004,-0.17300000000000001
5,KC,2023-08-19,84.4,-1.97,5.96,"Cole, Gerrit",649966,543037,,ball,,,,,14,Luis Urias strikes out swinging.,R,R,R,NYY,BOS,B,,,0,2,2023,0.77,-1.4,1.41,-1.6,,,,0,4,Top,,,,,666163,,,6.313867207243893,-122.48278085261616,-8.279103997903526,6.264661067676173,27.755614458700343,-44.463501009571466,3.03,1.45,,,,83.7,2882,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.19,,,,,,,,28,3,Knuckle Curve,0,6,6,0,6,0,6,0,Standard,Standard,32,0.0,0.022000000000000002
6,FF,2023-08-19,96.6,-1.98,6.1,"Cole, Gerrit",649966,543037,,swinging_strike,,,,,1,Luis Urias strikes out swinging.,R,R,R,NYY,BOS,S,,,0,1,2023,-0.5,1.28,-0.33,2.99,,,,0,4,Top,,,,,666163,,,5.506797446496089,-140.52202758026328,-5.6686176898983875,-7.785673352572727,30.1963599930826,-14.067354499517851,3.21,1.55,,,,96.9,2490,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.11,,,,,,,,28,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,208,0.0,-0.048
7,FF,2023-08-19,97.5,-2.0,6.02,"Cole, Gerrit",649966,543037,,called_strike,,,,,9,Luis Urias strikes out swinging.,R,R,R,NYY,BOS,S,,,0,0,2023,-0.66,1.53,0.41,1.92,,,,0,4,Top,,,,,666163,,,8.006318765749683,-141.57726778513532,-9.05207492774383,-10.671391749155546,31.005057872720858,-9.677873276392496,3.24,1.52,,,,97.6,2467,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.13,,,,,,,,28,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,211,0.0,-0.038
8,FF,2023-08-19,98.3,-2.16,5.77,"Cole, Gerrit",657136,543037,home_run,hit_into_play,,,,,8,Connor Wong homers (7) on a fly ball to right center field.    Pablo Reyes scores.,R,R,R,NYY,BOS,X,,fly_ball,3,2,2023,-1.08,1.25,0.16,1.74,,622569.0,,0,4,Top,196.02,62.29,,,666163,,,8.801748699207895,-142.64723491359942,-8.337434086819927,-16.805271837870755,32.39580940957416,-13.381122081085186,3.23,1.44,379.0,104.6,27.0,98.4,2451,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.01,0.94,1.879,2.0,1.0,0.0,3.0,6.0,27,8,4-Seam Fastball,0,4,4,0,6,0,6,0,Standard,Standard,215,-0.047,1.308
9,FC,2023-08-19,93.0,-2.31,5.75,"Cole, Gerrit",657136,543037,,ball,,,,,14,Connor Wong homers (7) on a fly ball to right center field.    Pablo Reyes scores.,R,R,R,NYY,BOS,B,,,2,2,2023,0.26,0.52,0.94,1.4,,622569.0,,0,4,Top,,,,,666163,,,7.767798804589133,-135.20836652093215,-6.56557458005494,1.6781546507456255,26.45160206006195,-24.665196983355074,3.15,1.34,,,,93.6,2633,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.05,,,,,,,,27,7,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,168,0.0,0.11599999999999999
