,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,p1,p2,p3,p4
0,Bobby Abreu,380,159,11,67,389,20,544,0.271,0.364,0.418,0.782,0.2866723989681857,0.4631126397248495,0.21994840928632847,0.030266552020636286,0.052701358965860125,0.003646005966191581,0.022207490884985085,0.12893602916804772,0.006629101756711966,0.18031156778256546,-0.26170880021966586,0.08398898834049409,-0.12166630493990373,-0.04081941013488772
1,José Abreu,526,233,14,198,263,51,835,0.294,0.35,0.52,0.87,0.199,0.4603333333333333,0.278,0.06266666666666666,0.0559021113243762,0.003358925143953935,0.04750479846449136,0.06309980806142035,0.012236084452975048,0.2003358925143954,-0.19996675194236277,0.13812672609743967,-0.0708911754554533,-0.016650662908725293
2,Dustin Ackley,261,94,18,46,194,10,420,0.241,0.304,0.3670000000000001,0.6709999999999999,0.2377096587622904,0.4592249855407751,0.22151532677848468,0.08155002891844998,0.04003407155025554,0.007666098807495741,0.01959114139693356,0.08262350936967633,0.004258943781942078,0.1788756388415673,-0.2487340564421304,0.10402265002105573,-0.06274095782698366,-0.048581496038315256
3,Matt Adams,294,129,6,118,161,16,634,0.259,0.307,0.467,0.774,0.2725788900979325,0.3775843307943417,0.27094668117519044,0.07889009793253536,0.05011655011655012,0.002331002331002331,0.04584304584304584,0.06254856254856253,0.006216006216006216,0.2463092463092463,-0.18941213203612733,0.02825551841260826,-0.07677163979026438,-0.01702147654133798
4,Nick Ahmed,277,112,20,60,167,11,456,0.239,0.293,0.389,0.6809999999999999,0.2121719709659408,0.4712451144611949,0.25125628140703515,0.06532663316582915,0.046166529266281946,0.008244023083264633,0.0247320692497939,0.06883759274525969,0.004534212695795548,0.18796372629843364,-0.22626124739182643,0.13483011424073282,-0.07281706080527131,-0.03707498605756155
5,Ozzie Albies,262,97,18,60,116,6,294,0.279,0.33,0.473,0.8029999999999999,0.27532097004279604,0.39443651925820256,0.25891583452211125,0.07132667617689016,0.055302166476624864,0.010262257696693271,0.034207525655644236,0.0661345496009122,0.0034207525655644247,0.1676168757126568,-0.20322174510160523,0.03822012262071534,-0.08500645705173873,-0.026006122803102723
6,Yonder Alonso,391,181,2,100,366,29,647,0.259,0.333,0.404,0.736,0.24335154826958105,0.4364298724954463,0.248816029143898,0.07140255009107467,0.047985153764581116,0.0005302226935312832,0.02651113467656416,0.09703075291622483,0.007688229056203605,0.1715270413573701,-0.2213280755389421,0.08909726979679367,-0.07347070681075756,-0.029557375819600825
7,Jose Altuve,766,308,28,133,377,38,662,0.311,0.361,0.458,0.8190000000000001,0.22117990410673333,0.4888471961642694,0.2366062122159683,0.053366687513028976,0.05434015525758645,0.00494001411432604,0.023465067043048696,0.06651376146788991,0.006704304869442485,0.11679604798870855,-0.24774547916871476,0.14103983083598529,-0.08710070003907448,-0.03597837521197206
8,Pedro Alvarez,365,131,6,162,314,31,952,0.236,0.31,0.447,0.757,0.24975704567541301,0.4810495626822158,0.20602526724975706,0.06316812439261417,0.039445950015055714,0.0018066847335140015,0.04878048780487805,0.09454983438723276,0.009334537789822343,0.2866606443842216,-0.27301434146260983,0.11247381084433904,-0.0792028138878878,-0.04698769319200442
9,Alexi Amarista,171,67,16,21,109,13,295,0.231,0.275,0.32299999999999995,0.599,0.2222222222222222,0.4892904953145917,0.2376171352074967,0.05087014725568943,0.03524460810099948,0.008416622830089426,0.011046817464492372,0.05733824302998423,0.00683850604944766,0.1551814834297738,-0.2472194273346595,0.1419584463507876,-0.09274363151979537,-0.05133258619626794
