,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_mean,launch_angle_mean,p1,p2,p3,p4
1,José Abreu,526,233,14,198,263,51,835,0.294,0.35,0.52,0.87,0.199,0.4603333333333333,0.278,0.06266666666666666,0.0559021113243762,0.003358925143953935,0.04750479846449136,0.06309980806142035,0.012236084452975048,0.2003358925143954,91.0728520988623,10.82934484111416,-2.010119394394043,-1.2624911472971365,-0.6459695572018544,3.3960812543114467
2,Dustin Ackley,261,94,18,46,194,10,420,0.241,0.304,0.3670000000000001,0.6709999999999999,0.2377096587622904,0.4592249855407751,0.22151532677848468,0.08155002891844998,0.04003407155025554,0.007666098807495741,0.01959114139693356,0.08262350936967633,0.004258943781942078,0.1788756388415673,89.7873469387755,12.910204081632653,-1.9763963203864396,-1.2955423265441302,-0.6930632596942518,3.3339114579852835
3,Matt Adams,294,129,6,118,161,16,634,0.259,0.307,0.467,0.774,0.2725788900979325,0.3775843307943417,0.27094668117519044,0.07889009793253536,0.05011655011655012,0.002331002331002331,0.04584304584304584,0.06254856254856253,0.006216006216006216,0.2463092463092463,89.03814919735598,17.763928234183194,-1.9558912180211048,-1.3142767521608527,-0.73101704978017,3.275650094600365
4,Nick Ahmed,277,112,20,60,167,11,456,0.239,0.293,0.389,0.6809999999999999,0.2121719709659408,0.4712451144611949,0.25125628140703515,0.06532663316582915,0.046166529266281946,0.008244023083264633,0.0247320692497939,0.06883759274525969,0.004534212695795548,0.18796372629843364,86.89370546318291,10.090261282660332,-1.9261121776581858,-1.2092593675226146,-0.6293451302044817,3.2428400014904617
5,Ozzie Albies,262,97,18,60,116,6,294,0.279,0.33,0.473,0.8029999999999999,0.27532097004279604,0.39443651925820256,0.25891583452211125,0.07132667617689016,0.055302166476624864,0.010262257696693271,0.034207525655644236,0.0661345496009122,0.0034207525655644247,0.1676168757126568,87.65028735632185,15.78289000718907,-1.9254457789984893,-1.2818291312309475,-0.6902237828163625,3.232211980802875
6,Yonder Alonso,391,181,2,100,366,29,647,0.259,0.333,0.404,0.736,0.24335154826958105,0.4364298724954463,0.248816029143898,0.07140255009107467,0.047985153764581116,0.0005302226935312832,0.02651113467656416,0.09703075291622483,0.007688229056203605,0.1715270413573701,88.313809812235,13.659600242277408,-1.9552139451612143,-1.2766590978755106,-0.6896394323194339,3.2647839638222167
7,Jose Altuve,766,308,28,133,377,38,662,0.311,0.361,0.458,0.8190000000000001,0.22117990410673333,0.4888471961642694,0.2366062122159683,0.053366687513028976,0.05434015525758645,0.00494001411432604,0.023465067043048696,0.06651376146788991,0.006704304869442485,0.11679604798870855,86.94345384345385,10.493506493506494,-1.9117985765104484,-1.2305263505381214,-0.620207257654735,3.2467384846434233
8,Pedro Alvarez,365,131,6,162,314,31,952,0.236,0.31,0.447,0.757,0.24975704567541301,0.4810495626822158,0.20602526724975706,0.06316812439261417,0.039445950015055714,0.0018066847335140015,0.04878048780487805,0.09454983438723276,0.009334537789822343,0.2866606443842216,92.15962441314554,9.96244131455399,-2.0210510131279475,-1.3147687746312746,-0.6850504500520406,3.426983187831465
9,Alexi Amarista,171,67,16,21,109,13,295,0.231,0.275,0.32299999999999995,0.599,0.2222222222222222,0.4892904953145917,0.2376171352074967,0.05087014725568943,0.03524460810099948,0.008416622830089426,0.011046817464492372,0.05733824302998423,0.00683850604944766,0.1551814834297738,85.53379446640317,10.794466403162057,-1.8793334783410736,-1.207287120330716,-0.6340780951007277,3.203155033714396
10,Tim Anderson,332,119,14,74,81,2,587,0.281,0.308,0.443,0.7509999999999999,0.19416909620991246,0.5113702623906705,0.2548104956268222,0.03965014577259475,0.04995801847187237,0.005877413937867338,0.03106633081444165,0.03400503778337532,0.0008396305625524769,0.246431570109152,86.86660746003551,8.541469194312796,-1.9149192852632702,-1.1993293654098243,-0.601070734130807,3.267620181951322
11,Elvis Andrus,893,303,48,76,516,5,962,0.274,0.33,0.3720000000000001,0.7020000000000001,0.17092819614711033,0.554816112084063,0.2252189141856392,0.04903677758318739,0.042802655742336486,0.006780618731459246,0.010735979658143806,0.07289165136318689,0.0007063144511936714,0.13589490040966234,87.38945647731916,8.641601961585614,-1.9273850887334598,-1.2233769335373088,-0.6199602375421208,3.2770356282572166
13,Nori Aoki,377,135,22,33,234,3,258,0.285,0.35,0.387,0.738,0.14594807238394966,0.6117230527143981,0.2010228166797797,0.04130605822187254,0.044349540078843626,0.0072273324572930345,0.010840998685939551,0.07687253613666227,0.0009855453350854136,0.08475689881734559,86.17882231404958,3.0557851239669422,-1.9038160515286449,-1.1573049608980113,-0.540091381351269,3.2614181174178
14,Orlando Arcia,182,69,7,42,123,14,375,0.244,0.295,0.366,0.66,0.16738197424892706,0.530758226037196,0.2410586552217453,0.060801144492131615,0.03699731903485255,0.0037533512064343174,0.022520107238605896,0.06595174262734585,0.007506702412868633,0.20107238605898126,87.04011585807386,6.5630434782608695,-1.9323519277929018,-1.174558367292425,-0.5953290534974847,3.2774439795626518
15,Nolan Arenado,649,262,27,235,362,58,684,0.293,0.349,0.541,0.89,0.2502139800285307,0.3746077032810271,0.27788873038516404,0.09728958630527818,0.05748135146994296,0.005923650724001754,0.0515577007459412,0.07942079859587538,0.012724879333040808,0.1500658183413778,89.54183520599251,17.10074906367041,-1.9722695255247664,-1.2989133076493973,-0.7095889502137913,3.285618307505984
