,First,Last
16,J.P.,Arencibia
28,Jose,Bautista
32,Josh,Bell
51,Jackie,Bradley Jr.
53,Ryan,Braun
75,Chris,Carter
77,Nicholas,Castellanos
97,C.J.,Cron
98,Nelson,Cruz
104,Ike,Davis
113,Delino,DeShields
122,J.D.,Drew
126,Matt,Duffy
130,Adam,Eaton
131,A.J.,Ellis
169,Alex,Gonzalez
178,Vladimir,Guerrero
183,Jerry,Hairston
185,Billy,Hamilton
189,J.J.,Hardy
198,Cesar,Hernandez
200,Ramon,Hernandez
227,Chris,Johnson
274,J.D.,Martinez
336,A.J.,Pierzynski
355,Jose,Ramirez
358,J.T.,Realmuto
363,Jose,Reyes
386,Yolmer,Sanchez
416,Steven,Souza Jr.
432,Michael,A. Taylor
449,Melvin,Upton Jr.
472,Chris,Young
474,Eric,Young Jr.
